date,country,municipality,confirmed,deaths,recovered,active,pcr,lat,long,population,km_sq,population_mne,km_sq_mne
2020-04-01,Montenegro,Andrijevica,7,0,NA,NA,128,42.73389,19.79194,5071,283,631219,13812
2020-04-01,Montenegro,Herceg Novi,4,1,NA,NA,128,42.45295,18.531203,30864,235,631219,13812
2020-04-01,Montenegro,Budva,4,0,NA,NA,128,42.28639,18.84,19218,122,631219,13812
2020-04-01,Montenegro,Ulcinj,9,0,NA,NA,128,41.92936,19.22436,19921,255,631219,13812
2020-04-01,Montenegro,Danilovgrad,1,0,NA,NA,128,42.55384,19.14608,18472,501,631219,13812
2020-04-01,Montenegro,Tivat,2,0,NA,NA,128,42.43639,18.69611,14031,46,631219,13812
2020-04-01,Montenegro,Bijelo Polje,1,0,NA,NA,128,43.03834,19.74758,46051,924,631219,13812
2020-04-01,Montenegro,Nikšić,1,0,NA,NA,128,42.7731,18.94446,72443,2065,631219,13812
2020-04-02,Montenegro,Tuzi,34,0,NA,NA,143,42.365556,19.331389,12096,236,631219,13812
2020-04-02,Montenegro,Podgorica,63,1,NA,NA,143,42.441286,19.262892,185937,1399,631219,13812
2020-04-02,Montenegro,Bar,10,0,NA,NA,143,42.099998,19.1,42048,598,631219,13812
2020-04-02,Montenegro,Andrijevica,7,0,NA,NA,143,42.73389,19.79194,5071,283,631219,13812
2020-04-02,Montenegro,Herceg Novi,4,1,NA,NA,143,42.45295,18.531203,30864,235,631219,13812
2020-04-02,Montenegro,Budva,4,0,NA,NA,143,42.28639,18.84,19218,122,631219,13812
2020-04-02,Montenegro,Ulcinj,9,0,NA,NA,143,41.92936,19.22436,19921,255,631219,13812
2020-04-02,Montenegro,Danilovgrad,2,0,NA,NA,143,42.55384,19.14608,18472,501,631219,13812
2020-04-02,Montenegro,Tivat,2,0,NA,NA,143,42.43639,18.69611,14031,46,631219,13812
2020-04-02,Montenegro,Bijelo Polje,6,0,NA,NA,143,43.03834,19.74758,46051,924,631219,13812
2020-04-02,Montenegro,Nikšić,3,0,NA,NA,143,42.7731,18.94446,72443,2065,631219,13812
2020-04-03,Montenegro,Tuzi,34,0,NA,NA,130,42.365556,19.331389,12096,236,631219,13812
2020-04-03,Montenegro,Podgorica,77,1,NA,NA,130,42.441286,19.262892,185937,1399,631219,13812
2020-04-03,Montenegro,Bar,12,0,NA,NA,130,42.099998,19.1,42048,598,631219,13812
2020-04-03,Montenegro,Andrijevica,7,0,NA,NA,130,42.73389,19.79194,5071,283,631219,13812
2020-04-03,Montenegro,Herceg Novi,6,1,NA,NA,130,42.45295,18.531203,30864,235,631219,13812
2020-04-03,Montenegro,Budva,4,0,NA,NA,130,42.28639,18.84,19218,122,631219,13812
2020-04-03,Montenegro,Ulcinj,9,0,NA,NA,130,41.92936,19.22436,19921,255,631219,13812
2020-04-03,Montenegro,Danilovgrad,3,0,NA,NA,130,42.55384,19.14608,18472,501,631219,13812
2020-04-03,Montenegro,Tivat,2,0,NA,NA,130,42.43639,18.69611,14031,46,631219,13812
2020-04-03,Montenegro,Bijelo Polje,6,0,NA,NA,130,43.03834,19.74758,46051,924,631219,13812
2020-04-03,Montenegro,Nikšić,14,0,NA,NA,130,42.7731,18.94446,72443,2065,631219,13812
2020-04-04,Montenegro,Tuzi,34,0,NA,NA,263,42.365556,19.331389,12096,236,631219,13812
2020-04-04,Montenegro,Podgorica,95,1,NA,NA,263,42.441286,19.262892,185937,1399,631219,13812
2020-04-04,Montenegro,Bar,18,0,NA,NA,263,42.099998,19.1,42048,598,631219,13812
2020-04-04,Montenegro,Andrijevica,7,0,NA,NA,263,42.73389,19.79194,5071,283,631219,13812
2020-04-04,Montenegro,Herceg Novi,6,1,NA,NA,263,42.45295,18.531203,30864,235,631219,13812
2020-04-04,Montenegro,Budva,4,0,NA,NA,263,42.28639,18.84,19218,122,631219,13812
2020-04-04,Montenegro,Ulcinj,9,0,NA,NA,263,41.92936,19.22436,19921,255,631219,13812
2020-04-04,Montenegro,Danilovgrad,3,0,NA,NA,263,42.55384,19.14608,18472,501,631219,13812
2020-04-04,Montenegro,Tivat,2,0,NA,NA,263,42.43639,18.69611,14031,46,631219,13812
2020-04-04,Montenegro,Bijelo Polje,6,0,NA,NA,263,43.03834,19.74758,46051,924,631219,13812
2020-04-04,Montenegro,Nikšić,17,0,NA,NA,263,42.7731,18.94446,72443,2065,631219,13812
2020-04-05,Montenegro,Tuzi,34,0,NA,NA,181,42.365556,19.331389,12096,236,631219,13812
2020-04-05,Montenegro,Podgorica,104,1,NA,NA,181,42.441286,19.262892,185937,1399,631219,13812
